year,product_chapter,value_trln_USD,quantity_mln_metric_tons
2000,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00003581,0.00470615
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00002292,0.00184972
2000,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000935,0.00095120
2000,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.00000684,0.19877984
2000,"Paper and paperboard; articles of paper pulp, of paper or paperboard",0.00000475,0.00818905
2000,Other,0.00006676,0.05018286
2001,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00001069,0.00139569
2001,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000730,0.00082689
2001,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.00000709,0.19616948
2001,Cereals,0.00000568,0.01141400
2001,Aluminium and articles thereof,0.00000560,0.00213091
2001,Other,0.00005294,0.06197068
2002,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.00000731,0.18967981
2002,Pharmaceutical products,0.00000730,0.00086182
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000603,0.00056151
2002,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000567,0.00042186
2002,Cereals,0.00000499,0.00972704
2002,Other,0.00005443,0.06060887
2003,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000736,0.00081290
2003,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000717,0.00077222
2003,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000712,0.00040932
2003,Pharmaceutical products,0.00000686,0.00039788
2003,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.00000679,0.14857943
2003,Other,0.00006210,0.06265194
2004,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00001405,0.00157629
2004,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00001312,0.00130285
2004,Pharmaceutical products,0.00000958,0.00067173
2004,Plastics and articles thereof,0.00000901,0.00812663
2004,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000808,0.00070570
2004,Other,0.00008032,0.20651898
2005,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00002824,0.00135865
2005,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00002294,0.00250525
2005,Plastics and articles thereof,0.00001919,0.01319088
2005,Pharmaceutical products,0.00001131,0.00103903
2005,Aluminium and articles thereof,0.00001066,0.00242249
2005,Other,0.00009442,0.09522852
2006,Plastics and articles thereof,0.00003071,0.02255100
2006,Iron and steel,0.00002871,0.00749545
2006,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00002653,0.00145207
2006,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00001212,0.00127374
2006,Pharmaceutical products,0.00001164,0.00054033
2006,Other,0.00012538,0.16123287
2007,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00120153,0.94857790
2007,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00023978,0.02765562
2007,Cereals,0.00018415,0.40398656
2007,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00013385,0.01294920
2007,"Food industries, residues and wastes thereof; prepared animal fodder",0.00010383,0.08454430
2007,Other,0.00144885,1.84588846
2008,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00140169,0.81235689
2008,Cereals,0.00018860,0.23456466
2008,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00017221,0.01746549
2008,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00014107,0.01026855
2008,"Food industries, residues and wastes thereof; prepared animal fodder",0.00010974,0.09855080
2008,Other,0.00154691,1.39991566
2009,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00113961,0.90773944
2009,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00020312,0.02256353
2009,Cereals,0.00018402,0.26803266
2009,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00016383,0.01191925
2009,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00013977,0.00645654
2009,Other,0.00172999,1.99574889
2010,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00124455,0.56728124
2010,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00019601,0.01314889
2010,Cereals,0.00018213,0.28135118
2010,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00017930,0.01974608
2010,"Food industries, residues and wastes thereof; prepared animal fodder",0.00013958,0.01303830
2010,Other,0.00199288,0.89799051
2011,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00149296,1.23238987
2011,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00023622,0.01877039
2011,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00020006,0.02223725
2011,Cereals,0.00019916,0.29836096
2011,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00017930,0.00736743
2011,Other,0.00230011,2.91902512
2012,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00143800,0.86913262
2012,Cereals,0.00025536,0.30502298
